iter	Logloss
0	0.6776004357
1	0.6562677505
2	0.6403452241
3	0.6252922357
4	0.6081425224
5	0.5998529743
6	0.5852793128
7	0.5771660028
8	0.5657537884
9	0.5574881236
10	0.5416862126
11	0.5276515342
12	0.513231076
13	0.5027929737
14	0.4941307086
15	0.4840243981
16	0.4714019268
17	0.4582486544
18	0.448884874
19	0.4413356133
20	0.4305122617
21	0.421519445
22	0.415524892
23	0.4100777916
24	0.4031981619
25	0.3976315769
26	0.3923129517
27	0.3863384579
28	0.3807040334
29	0.3744462011
30	0.3715347432
31	0.3636989885
32	0.3574198455
33	0.352295506
34	0.3472384246
35	0.3420727206
36	0.3378466117
37	0.3304535744
38	0.3280027654
39	0.3231842614
40	0.3184305701
41	0.3120544137
42	0.3075353316
43	0.3038363446
44	0.2991744034
45	0.294880752
46	0.2908272432
47	0.2843052031
48	0.2812113423
49	0.2768879938
50	0.2715934235
51	0.2668760206
52	0.2619536746
53	0.2569214753
54	0.2522714926
55	0.2478047994
56	0.2428871692
57	0.2375271417
58	0.233522016
59	0.2291781548
60	0.2263231026
61	0.223931006
62	0.2204329437
63	0.2170229006
64	0.2120413501
65	0.2078406036
66	0.205100446
67	0.2003302992
68	0.1972574964
69	0.1944356637
70	0.1918657468
71	0.188927292
72	0.1853564098
73	0.1813949998
74	0.1781769644
75	0.1757865339
76	0.1731470518
77	0.1707566926
78	0.1679629012
79	0.1644937988
80	0.1617504422
81	0.1590648225
82	0.1562915515
83	0.154646714
84	0.1520535195
85	0.1498118962
86	0.1468823282
87	0.1449356602
88	0.1433571607
89	0.1411888291
90	0.1395476577
91	0.1377217733
92	0.1355581905
93	0.1336458057
94	0.1319824335
95	0.1294560158
96	0.1272254945
97	0.1254606047
98	0.1234812653
99	0.1220680063
