iter	Passed	Remaining
0	13	1349
1	36	1768
2	50	1628
3	67	1626
4	86	1634
5	98	1541
6	122	1628
7	135	1557
8	146	1486
9	167	1510
10	188	1521
11	208	1527
12	220	1478
13	240	1474
14	259	1468
15	264	1386
16	265	1298
17	267	1220
18	269	1150
19	271	1087
20	273	1030
21	275	978
22	277	930
23	279	885
24	281	845
25	283	806
26	285	771
27	287	738
28	289	707
29	291	679
30	292	651
31	294	626
32	296	602
33	298	579
34	300	558
35	302	537
36	304	518
37	306	499
38	308	482
39	310	465
40	312	450
41	314	434
42	316	419
43	318	405
44	320	391
45	322	378
46	324	366
47	327	354
48	329	342
49	331	331
50	334	321
51	336	310
52	338	300
53	340	290
54	342	280
55	344	271
56	346	261
57	349	252
58	351	244
59	354	236
60	356	227
61	358	219
62	360	211
63	362	204
64	364	196
65	367	189
66	370	182
67	372	175
68	374	168
69	376	161
70	378	154
71	380	148
72	383	141
73	385	135
74	387	129
75	389	122
76	391	116
77	393	111
78	395	105
79	397	99
80	399	93
81	401	88
82	404	82
83	406	77
84	408	72
85	410	66
86	411	61
87	413	56
88	415	51
89	417	46
90	420	41
91	422	36
92	424	31
93	426	27
94	428	22
95	430	17
96	432	13
97	434	8
98	436	4
99	438	0
